bus_id,lon,lat,v_nom,bus_pop_local_nb,unserved_count,unserved_frequency,n_storms
01PAGUDPUD,120.7885729,18.619094,230,486801.5765583515,0,0.0,5
01PANTABA,121.1088937,15.81218761,230,712943.4234979153,0,0.0,5
01PASUQUIN,120.6392652,18.34463934,230,81640.8962316513,0,0.0,5
01SBMA,120.3013176,14.81779203,230,329813.7749273777,0,0.0,5
01SNESTBN,120.4472129,17.34299021,230,534302.1552312672,0,0.0,5
01SNMANUEL,120.6506293,16.06303221,230,455195.1013269424,0,0.0,5
01SNMARCELINO,120.1416454,14.97091963,230,280080.49269229174,0,0.0,5
01SNRAFAEL,120.9390471,15.02418101,230,738579.5633581877,0,0.0,5
01SNROQUE,120.5261828,15.29628888,230,223903.3189940453,0,0.0,5
01SNTGO,121.5412147,16.72942123,230,1101332.3780734837,0,0.0,5
01SUAL,120.055461,16.09747953,230,766832.2626957893,0,0.0,5
01T_ASIA,121.0782897,14.89504593,230,137190.91616630554,0,0.0,5
01TGEGARAO,121.7693882,17.62428834,230,2117531.6196603477,0,0.0,5
02DOLORES,121.1411741,14.57269264,230,3957143.24517107,0,0.0,5
02DONAIMELDA,121.0155714,14.62215698,230,2621332.9455566406,0,0.0,5
02MANILA,120.9993479,14.58073127,230,2783354.487464905,0,0.0,5
02MUNTINLUPA,121.052491,14.444463,230,1605273.3682861328,0,0.0,5
02QUEZON,121.0216949,14.66566604,230,5562161.452140808,0,0.0,5
02ZAPOTE,120.9874793,14.48456999,230,3117836.7950286865,1,0.2,5
03AMADEO,121.0043114,14.21558559,230,636260.4124154449,0,0.0,5
03AVION,121.041631,13.77051954,230,464516.72200012207,0,0.0,5
03BACMANGP,123.9683161,13.05498921,230,1790441.0133895874,2,0.4,5
03BATANGAS,121.0795612,13.83377943,230,1022528.1219348907,0,0.0,5
03BINAN,121.0764751,14.33009645,230,1038349.54347229,0,0.0,5
03CALAMBA,121.1422551,14.20075852,230,1061838.0685634613,1,0.2,5
03CALAUAN,121.3125587,14.17060438,230,534453.118686676,2,0.4,5
03CALIRAY,121.4701899,14.29902774,230,305463.5858383179,0,0.0,5
03CLACA,120.7960695,13.93530151,230,110811.55588531494,0,0.0,5
03DARAGA,123.7082849,13.12764641,230,2358922.186414242,2,0.4,5
03DASMAEHV,120.9510418,14.31234618,500,2968676.8697595596,0,0.0,5
03EERI,121.0793542,13.62228749,500,2114566.6872321367,0,0.0,5
03GUMACA,122.0895564,13.90874378,230,2002189.3104424477,3,0.6,5
03ILIJAN,121.0785817,13.62630708,500,109945.80951881409,0,0.0,5
03INGRID,121.337705,14.39095968,500,82379.49566483498,0,0.0,5
03LABO,122.7863738,14.19264689,230,1452694.7994749546,3,0.6,5
03LUMBAN,121.4876888,14.30931602,230,41984.02119779587,0,0.0,5
03MAUBAN,121.7564799,14.2262972,230,370974.59213888645,0,0.0,5
03MKBAN-A,121.2138915,14.09265092,230,363013.9294376373,0,0.0,5
03MKBAN-B,121.225071,14.08965919,230,10804.014652252195,0,0.0,5
03MKBAN-C,121.2286759,14.09069979,230,450087.8434906006,1,0.2,5
03MKBAN-D,121.2174243,14.08807863,230,261827.65209198,0,0.0,5
03MLAYA,121.354621,14.40142893,230,397938.7888555527,0,0.0,5
03NAGA,123.5153401,13.70429086,230,2284200.2112720013,2,0.4,5
03PAGEHV,121.7607786,13.98265943,230,97327.97871303558,3,0.6,5
03PALAYAN,121.3907612,14.1460843,230,439386.2468471527,3,0.6,5
03PGBILAO,121.7607283,13.98254405,500,128816.38631248474,0,0.0,5
03SALONG,120.8253729,13.92488298,230,431768.6595144272,0,0.0,5
03SLPGC,120.7861722,13.93353807,230,639570.7209937572,0,0.0,5
03SNJUAN,121.4753713,14.32110018,230,179280.53798222542,2,0.4,5
03STARITA,121.0572906,13.77532751,230,248849.43212127688,0,0.0,5
03STROSA,121.1045319,14.3224419,230,670910.297328949,0,0.0,5
03TAYABEHV,121.6056151,14.02157229,500,1030815.9920458794,2,0.4,5
03TIWI-A,123.6490078,13.47369627,500,502333.97943496704,0,0.0,5
03TIWI-C,123.6402441,13.46065993,230,1169394.0103172064,2,0.4,5
