storm_id,storm_name,year,grid_impact_index_v4b,grid_impact_index_v5r,rank_v4b,rank_v5r,rank_shift,abs_rank_shift
WP171962,AMY,1962,0.0,0.0,50.0,50.0,0.0,0.0
WP161962,WANDA,1962,0.0,0.0,50.0,50.0,0.0,0.0
WP111962,PATSY,1962,0.0,0.0,50.0,50.0,0.0,0.0
WP101962,OPAL,1962,0.0,0.0,50.0,50.0,0.0,0.0
WP061962,KATE,1962,0.0,0.0,50.0,50.0,0.0,0.0
WP031962,HOPE,1962,0.0,0.0,50.0,50.0,0.0,0.0
WP271961,ELLEN,1961,0.0,0.0,50.0,50.0,0.0,0.0
WP161961,LORNA,1961,0.0,0.0,50.0,50.0,0.0,0.0
WP141961,JUNE,1961,0.0,0.0,50.0,50.0,0.0,0.0
WP091961,ELSIE,1961,0.0,0.0,50.0,50.0,0.0,0.0
WP061961,BETTY,1961,0.0,0.0,50.0,50.0,0.0,0.0
WP231960,LOLA,1960,0.0,0.0,50.0,50.0,0.0,0.0
WP081959,IRIS,1959,0.0,0.0,50.0,50.0,0.0,0.0
WP221960,KIT,1960,0.0,0.0,50.0,50.0,0.0,0.0
WP151960,ELAINE,1960,0.0,0.0,50.0,50.0,0.0,0.0
WP081960,SHIRLEY,1960,0.0,0.0,50.0,50.0,0.0,0.0
WP061960,POLLY,1960,0.0,0.0,50.0,50.0,0.0,0.0
WP051960,OLIVE,1960,0.0,0.0,50.0,50.0,0.0,0.0
WP011960,KAREN,1960,0.0,0.0,50.0,50.0,0.0,0.0
WP211959,FREDA,1959,0.0,0.0,50.0,50.0,0.0,0.0
WP201959,EMMA,1959,0.0,0.0,50.0,50.0,0.0,0.0
WP181959,CHARLOTTE,1959,0.0,0.0,50.0,50.0,0.0,0.0
WP161959,AMY,1959,0.0,0.0,50.0,50.0,0.0,0.0
WP111959,LOUISE,1959,0.0,0.0,50.0,50.0,0.0,0.0
WP091959,JOAN,1959,0.0,0.0,50.0,50.0,0.0,0.0
WP131954,NANCY,1954,0.0,0.0,50.0,50.0,0.0,0.0
WP061954,IDA,1954,0.0,0.0,50.0,50.0,0.0,0.0
WP021954,ELSIE,1954,0.0,0.0,50.0,50.0,0.0,0.0
WP141947,NANETTE,1947,0.0,0.0,50.0,50.0,0.0,0.0
WP251948,BEVERLY,1948,0.0,0.0,50.0,50.0,0.0,0.0
WP221948,RITA,1948,0.0,0.0,50.0,50.0,0.0,0.0
WP151948,JACKIE,1948,0.0,0.0,50.0,50.0,0.0,0.0
WP131948,HAZEL,1948,0.0,0.0,50.0,50.0,0.0,0.0
WP121948,GERTRUDE,1948,0.0,0.0,50.0,50.0,0.0,0.0
WP071948,ROSE,1948,0.0,0.0,50.0,50.0,0.0,0.0
WP061948,PEARL,1948,0.0,0.0,50.0,50.0,0.0,0.0
WP271947,JEAN,1947,0.0,0.0,50.0,50.0,0.0,0.0
WP231947,FLORA,1947,0.0,0.0,50.0,50.0,0.0,0.0
WP211947,DORA,1947,0.0,0.0,50.0,50.0,0.0,0.0
WP201947,CATHY,1947,0.0,0.0,50.0,50.0,0.0,0.0
WP161947,PAULINE,1947,0.0,0.0,50.0,50.0,0.0,0.0
WP131947,MILDRED,1947,0.0,0.0,50.0,50.0,0.0,0.0
WP211953,CORA,1953,0.0,0.0,50.0,50.0,0.0,0.0
WP091947,INEZ,1947,0.0,0.0,50.0,50.0,0.0,0.0
WP031947,CAROL,1947,0.0,0.0,50.0,50.0,0.0,0.0
WP141946,BETTY,1946,0.0,0.0,50.0,50.0,0.0,0.0
WP131946,ALMA,1946,0.0,0.0,50.0,50.0,0.0,0.0
WP121946,QUERIDA,1946,0.0,0.0,50.0,50.0,0.0,0.0
WP101946,OPAL,1946,0.0,0.0,50.0,50.0,0.0,0.0
WP061946,INGRID,1946,0.0,0.0,50.0,50.0,0.0,0.0
WP031946,DOLLY,1946,0.0,0.0,50.0,50.0,0.0,0.0
WP011946,BARBARA,1946,0.0,0.0,50.0,50.0,0.0,0.0
WP261945,NORA,1945,0.0,0.0,50.0,50.0,0.0,0.0
WP211945,JEAN,1945,0.0,0.0,50.0,50.0,0.0,0.0
WP171945,URSULA,1945,0.0,0.0,50.0,50.0,0.0,0.0
WP021949,DELLA,1949,0.0,0.0,50.0,50.0,0.0,0.0
WP081949,JUDITH,1949,0.0,0.0,50.0,50.0,0.0,0.0
WP161949,OMELIA,1949,0.0,0.0,50.0,50.0,0.0,0.0
WP171949,PATRICIA,1949,0.0,0.0,50.0,50.0,0.0,0.0
WP201953,BETTY,1953,0.0,0.0,50.0,50.0,0.0,0.0
WP141953,SUSAN,1953,0.0,0.0,50.0,50.0,0.0,0.0
WP121953,RITA,1953,0.0,0.0,50.0,50.0,0.0,0.0
