storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r_stoch,rank_index
WP231959,HARRIET,1959,7,8325644.457397938,0.0538683808319802,5,0.0260416666666666,8,0.0338983050847457,8325644.457397938,5,8,14,0.1888580238428515,0.1632653061224489,0.1470588235294117,0.1761899643657349,38
WP231970,PATSY,1970,7,4809810.117890358,0.0311203156086978,4,0.0208333333333333,18,0.0762711864406779,4809810.117890358,4,18,8,0.1091052156469367,0.3673469387755102,0.1176470588235294,0.174946922905569,39
WP231988,RUBY,1988,9,2967411.3327013254,0.0191996721182407,5,0.0260416666666666,18,0.0762711864406779,2967411.3327013254,5,18,11,0.067312439666443,0.3673469387755102,0.1470588235294117,0.1542830220231551,40
WP081971,DINAH,1971,8,6590938.75709343,0.0426445305014059,4,0.0208333333333333,8,0.0338983050847457,6590938.75709343,4,8,9,0.1495081462225873,0.1632653061224489,0.1176470588235294,0.148168273087694,41
WP282015,MELOR,2015,10,4588749.446650982,0.0296900142685157,3,0.015625,14,0.059322033898305,4588749.446650982,3,14,15,0.1040906991451486,0.2857142857142857,0.088235294117647,0.1471182850333076,42
WP302016,NOCK-TEN,2016,8,5758143.456968188,0.0372561987498179,4,0.0208333333333333,10,0.0423728813559322,5758143.456968188,4,10,13,0.1306171071622401,0.2040816326530612,0.1176470588235294,0.1470377312841388,43
WP222006,CIMARON,2006,11,5485861.878168464,0.0354944891481926,5,0.0260416666666666,9,0.0381355932203389,5485861.878168464,5,9,27,0.1244407010997359,0.1836734693877551,0.1470588235294117,0.1426416115361921,44
WP222014,HAGUPIT,2014,7,6027916.82186918,0.0390016797673142,4,0.0208333333333333,8,0.0338983050847457,6027916.82186918,4,8,19,0.1367366171703052,0.1632653061224489,0.1176470588235294,0.1405053556563247,45
WP312018,YUTU,2018,18,4757142.7204013765,0.0307795483035501,4,0.0208333333333333,11,0.0466101694915254,4757142.7204013765,4,11,20,0.1079105140641809,0.2244897959183673,0.1176470588235294,0.1385158162416298,46
WP171956,JEAN,1956,10,4993963.691892028,0.0323118215523701,4,0.0208333333333333,9,0.0381355932203389,4993963.691892028,4,9,12,0.1132825355225951,0.1836734693877551,0.1176470588235294,0.1315349474840252,47
WP191957,KIT,1957,12,5056686.14024961,0.0327176468013499,4,0.0208333333333333,8,0.0338983050847457,5056686.14024961,4,8,20,0.1147053247983097,0.1632653061224489,0.1176470588235294,0.1272865802331274,48
WP231956,POLLY,1956,9,5758143.456968188,0.0372561987498179,4,0.0208333333333333,6,0.0254237288135593,5758143.456968188,4,6,12,0.1306171071622401,0.1224489795918367,0.1176470588235294,0.1266295680188326,49
WP251987,PHYLLIS,1987,7,5182431.059165284,0.0335312384956021,5,0.0260416666666666,6,0.0254237288135593,5182431.059165284,5,6,14,0.117557709021082,0.1224489795918367,0.1470588235294117,0.1232056938400201,50
